Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",126.599874,-114.929901,-90.000000,top
"C2","4.7uF","C_0603_1608Metric",123.701450,-77.800000,-90.000000,top
"C3","150pF","C_0603_1608Metric",113.200000,-79.275000,-90.000000,top
"C4","10uF","C_0805_2012Metric",110.100000,-79.425000,-90.000000,top
"C5","100nF","C_0603_1608Metric",129.299874,-110.904901,0.000000,top
"C6","4.7uF","C_0603_1608Metric",129.299874,-112.554901,0.000000,top
"C7","0.1uF","C_0603_1608Metric",114.567500,-110.610000,-90.000000,top
"C8","0.1uF","C_0603_1608Metric",111.867500,-111.360000,0.000000,top
"C14","4.7uF","C_0603_1608Metric",144.900000,-67.850000,90.000000,top
"C15","0.1uF","C_0402_1005Metric",140.650000,-79.000000,180.000000,top
"C16","0.1uF","C_0402_1005Metric",131.362462,-73.957538,180.000000,top
"C17","10pF","C_0402_1005Metric",127.942462,-72.007538,90.000000,top
"C18","10pF","C_0402_1005Metric",129.442462,-73.957538,0.000000,top
"C19","0.1uF","C_0402_1005Metric",139.634924,-67.000000,180.000000,top
"C20","0.1uF","C_0402_1005Metric",135.134924,-67.000000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",144.650000,-70.450000,-90.000000,top
"C22","0.1uF","C_0402_1005Metric",135.145000,-81.437500,-90.000000,top
"C23","1uF","C_0402_1005Metric",132.592462,-79.607538,180.000000,top
"C24","10pF","C_0402_1005Metric",129.462462,-70.707538,180.000000,top
"C25","10pF","C_0402_1005Metric",129.462462,-71.757538,180.000000,top
"C26","0.1uF","C_0402_1005Metric",134.592462,-79.607538,0.000000,top
"C27","4.7uF","C_0603_1608Metric",159.250000,-77.450000,0.000000,top
"C28","0.1uF","C_0402_1005Metric",157.200000,-77.650000,-90.000000,top
"C29","10uF","C_0402_1005Metric",109.200000,-70.800000,-90.000000,top
"C30","10uF","C_0402_1005Metric",115.500000,-70.800000,-90.000000,top
"C31","1uF","C_0402_1005Metric",119.300000,-70.000000,180.000000,top
"C32","470nF","C_0402_1005Metric",117.800000,-72.900000,-90.000000,top
